txtAuthor,txtBody_Clean,gd_counts,gd_average,liwc_counts,liwc_averge
Cuyen,Serge: no,Counter(),0,"Counter({'Function': 1, 'Negate': 1})",2
Pareg,Seems more fair. That's great.,Counter({'honour': 1}),1,"Counter({'Adj': 3, 'Affect': 2, 'Posemo': 2, 'Compare': 1, 'Quant': 1, 'Drives': 1, 'Reward': 1})",11
Blacktarpill,Thats a nice upgrade.,Counter({'help': 1}),1,"Counter({'Function': 1, 'Article': 1, 'Adj': 1, 'Affect': 1, 'Posemo': 1})",5
Joelossus,So does this mean that @Michael15651 and @-BrettyBoy- do have another chance?,Counter(),0,"Counter({'Function': 7, 'Verb': 4, 'FocusPresent': 4, 'Auxverb': 3, 'Pronoun': 3, 'Ipron': 3, 'CogProc': 2, 'Adj': 1, 'Insight': 1, 'Conj': 1, 'Quant': 1, 'Tentat': 1})",31
VictoryOrDeath,Insomniac said:                                    permabans for cucks and foids only tbh            Click to expand...      You're back,Counter(),0,"Counter({'Function': 5, 'Prep': 2, 'Adverb': 2, 'Relativ': 2, 'Space': 2, 'Verb': 1, 'Social': 1, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Conj': 1, 'Informal': 1, 'Netspeak': 1, 'Time': 1})",22
NEETAndTidy,"These ban requests are insane. Just dont log on.    It's a waste of moderator time. And it's just so people can be dramatic faggots, and leave just to return.    And now they can do it twice a year.      Were adults. If you dont have the self control to log out of a site then maybe you don't belong online in the first place with such impulse control issues.","Counter({'surveillance': 2, 'planning': 1, 'relationship': 1})",4,"Counter({'Function': 34, 'Relativ': 12, 'FocusPresent': 10, 'Auxverb': 8, 'Prep': 8, 'Social': 7, 'Verb': 7, 'Time': 6, 'Adverb': 6, 'Drives': 5, 'Space': 5, 'Article': 5, 'Pronoun': 5, 'Power': 3, 'Conj': 3, 'Ppron': 3, 'CogProc': 3, 'Negate': 2, 'Ipron': 2, 'Number': 2, 'You': 2, 'Cause': 2, 'Adj': 1, 'Leisure': 1, 'Informal': 1, 'Swear': 1, 'Motion': 1, 'They': 1, 'FocusFuture': 1, 'Tentat': 1, 'Affiliation': 1, 'Achieve': 1})",150
seija,This clarification system shouldn't be a thing.,Counter({'surveillance': 1}),1,"Counter({'Function': 3, 'CogProc': 1, 'Insight': 1, 'Auxverb': 1, 'Verb': 1, 'FocusPresent': 1, 'Article': 1, 'Pronoun': 1, 'Ipron': 1})",11
LittleBoy,I trust that any high IQ poster who breaks the rules will be severely punished & reprimanded since they knowingly contravened the rules??,Counter({'relationship': 1}),1,"Counter({'Function': 8, 'Drives': 5, 'Power': 4, 'Affect': 3, 'Social': 3, 'Pronoun': 3, 'FocusPresent': 2, 'Ipron': 2, 'CogProc': 2, 'Relativ': 2, 'Article': 2, 'Auxverb': 2, 'Verb': 2, 'Negemo': 2, 'Posemo': 1, 'Risk': 1, 'Quant': 1, 'Tentat': 1, 'Adj': 1, 'Space': 1, 'Interrog': 1, 'FocusFuture': 1, 'Anger': 1, 'Prep': 1, 'Cause': 1, 'Time': 1, 'Ppron': 1, 'They': 1})",56
SoyUnPerdedor,NEETAndTidy said:                                    It's a waste of moderator time.            Click to expand...      Yeah I’m sure their getting their balls busted whenever someone requests a ban,Counter({'planning': 1}),1,"Counter({'Function': 8, 'Social': 5, 'Relativ': 3, 'Pronoun': 3, 'Verb': 2, 'Article': 2, 'Prep': 2, 'Time': 2, 'CogProc': 2, 'Ppron': 2, 'They': 2, 'Drives': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Space': 1, 'Affect': 1, 'Posemo': 1, 'Certain': 1, 'Reward': 1, 'Adverb': 1, 'Conj': 1, 'Interrog': 1, 'Ipron': 1, 'Tentat': 1, 'Power': 1})",49
RegisterUserName,Total Imbecile said:                                    Also exempt if you are white or black since you can just get laid anytime you want            Click to expand...      I thought you were against requesting bans                                  SoyUnPerdedor said:                                    Yeah I’m sure their getting their balls busted whenever someone requests a ban            Click to expand...      @Blacktarpill suddenly wants to become mod,Counter({'planning': 2}),2,"Counter({'Function': 22, 'Verb': 11, 'Social': 11, 'CogProc': 11, 'Pronoun': 7, 'Ppron': 6, 'FocusPresent': 6, 'Relativ': 6, 'Prep': 5, 'Percept': 4, 'FocusPast': 4, 'Tentat': 4, 'You': 4, 'Auxverb': 4, 'Time': 4, 'Drives': 4, 'Conj': 3, 'Discrep': 3, 'Differ': 3, 'Adverb': 3, 'Hear': 2, 'See': 2, 'Reward': 2, 'Space': 2, 'Insight': 2, 'Power': 2, 'They': 2, 'Adj': 1, 'Cause': 1, 'Affect': 1, 'Posemo': 1, 'Certain': 1, 'Interrog': 1, 'Ipron': 1, 'Article': 1, 'FocusFuture': 1})",148
SoyUnPerdedor,RegisterUserName said:                                    I thought you were against requesting bans    @Blacktarpill suddenly wants to become mod             Click to expand...      Legit,Counter({'planning': 1}),1,"Counter({'Function': 7, 'Verb': 5, 'CogProc': 4, 'Social': 3, 'Prep': 3, 'FocusPast': 2, 'Insight': 2, 'Auxverb': 2, 'Relativ': 2, 'FocusPresent': 2, 'Percept': 1, 'Hear': 1, 'Pronoun': 1, 'Ppron': 1, 'You': 1, 'Differ': 1, 'Drives': 1, 'Power': 1, 'Adverb': 1, 'Time': 1, 'Discrep': 1, 'FocusFuture': 1, 'Space': 1})",45
ihaveno1,"NEETAndTidy said:                                    Were adults.            Click to expand...      JFL @ assuming that everyone on this site is 18 or older, we even have a 14 year old here...",Counter({'loneliness': 2}),2,"Counter({'Function': 12, 'Relativ': 6, 'Social': 4, 'Pronoun': 4, 'Verb': 3, 'Space': 3, 'CogProc': 3, 'Ipron': 3, 'Time': 3, 'Prep': 2, 'Tentat': 2, 'Auxverb': 2, 'FocusPresent': 2, 'Adverb': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Insight': 1, 'Certain': 1, 'Conj': 1, 'Differ': 1, 'Adj': 1, 'Compare': 1, 'Ppron': 1, 'We': 1, 'Drives': 1, 'Affiliation': 1, 'Article': 1})",65
NEETAndTidy,"ihaveno1 said:                                    JFL @ assuming that everyone on this site is 18 or older, we even have a 14 year old here...            Click to expand...      Someone that young shouldnt even be here.",Counter({'loneliness': 2}),2,"Counter({'Function': 17, 'Relativ': 7, 'Verb': 5, 'Pronoun': 5, 'CogProc': 4, 'Ipron': 4, 'Auxverb': 4, 'Time': 4, 'Adverb': 4, 'Social': 3, 'Space': 3, 'FocusPresent': 3, 'Tentat': 2, 'Prep': 2, 'Adj': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Insight': 1, 'Certain': 1, 'Conj': 1, 'Differ': 1, 'Compare': 1, 'Ppron': 1, 'We': 1, 'Drives': 1, 'Affiliation': 1, 'Article': 1, 'Negate': 1, 'Discrep': 1})",84
Total Imbecile,"RegisterUserName said:                                    I thought you were against requesting bans            Click to expand...      I am, its pure attention whoring, if you request a ban it should be permanent, you shouldnt be able to even log into your account once you get request banned","Counter({'help': 2, 'planning': 1})",3,"Counter({'Function': 20, 'Verb': 9, 'Social': 9, 'CogProc': 7, 'Pronoun': 7, 'Auxverb': 6, 'Ppron': 5, 'You': 5, 'Drives': 5, 'Prep': 4, 'Relativ': 4, 'FocusPresent': 4, 'Power': 3, 'Discrep': 3, 'FocusPast': 2, 'Insight': 2, 'Differ': 2, 'Space': 2, 'Ipron': 2, 'Time': 2, 'Percept': 1, 'Hear': 1, 'Certain': 1, 'Conj': 1, 'Tentat': 1, 'Article': 1, 'Adj': 1, 'Negate': 1, 'Achieve': 1, 'Adverb': 1, 'Money': 1, 'Number': 1, 'Reward': 1})",116
Incline,"ihaveno1 said:                                    JFL @ assuming that everyone on this site is 18 or older, we even have a 14 year old here...            Click to expand...      Nobody who is younger than 18 should even be on this site tbh. Fair enough for the 16-18 ones. They shouldn't be here but there are edge cases. But JFL at the 14-16 that call themselves incels.","Counter({'loneliness': 2, 'help': 1})",3,"Counter({'Function': 31, 'Relativ': 11, 'Verb': 8, 'Pronoun': 8, 'Space': 7, 'Auxverb': 7, 'Social': 6, 'CogProc': 6, 'Ipron': 6, 'Prep': 6, 'FocusPresent': 6, 'Adverb': 5, 'Time': 4, 'Differ': 3, 'Adj': 3, 'Compare': 3, 'Article': 3, 'Percept': 2, 'Tentat': 2, 'Conj': 2, 'Ppron': 2, 'Hear': 1, 'FocusPast': 1, 'Insight': 1, 'Certain': 1, 'We': 1, 'Drives': 1, 'Affiliation': 1, 'Interrog': 1, 'Discrep': 1, 'Informal': 1, 'Netspeak': 1, 'They': 1})",143
blickpall,"Introduction  The Basics of Evolutionary Psychology                  Spoiler: Part 1                                      Spoiler: Disclaimer                      None of the information is sourced from my own personal work. I have merely aggregated (and in places emphasized) research done by others which they have shared with me, data mined and shared by corporations, images and statistics shared by representatives of those corporations, as well as theories conceptualized and studies conducted by psychologists. The names of certain individuals who contributed to this work will not appear in this post and will be redacted from the sources to protect both their and my privacy.              What is Evolutionary Psychology?    Evolutionary psychology attempts to provide ultimate as well as proximate explanations of human behaviour. Proximate mechanisms are those that directly cause a particular behaviour (for instance we have sex because we enjoy it) whereas ultimate explanations are cast at the level of design by natural selection (we have sex because it leads to offspring).  (Workman & Reader, 2014, p. 27)    [Evolutionary psychology is] the principles of Darwinian natural selection [applied] to the study of the human mind. A central claim is that the brain (and therefore the mind) evolved to solve problems encountered by our hunter-gatherer ancestors during the upper Pleistocene period over 10,000 years ago, a time known as the Environment  of  Evolutionary Adaptation (EEA). The mind, therefore, is seen as equipped with species-specific ‘instincts’ that enabled our ancestors to survive and reproduce and which give rise to a universal human nature.  (Workman & Reader, 2014, p. 1)    TLDR: How is evolutionary psychology directly relevant to the blackpill?    Evolutionary psychology explains why we are predisposed, or programmed, in certain ways. These underlying factors could be seen as major contributors to the existence of incels. Many of the theories of evolutionary psychology which relied heavily on self-reported and observational information are now being supported by data gathered from dating services such as OkCupid and Tinder.    Hence if natural selection is survival of the fittest then we can think of sexual selection as ‘survival of the sexiest’.  (Workman & Reader, 2014, p. 59)              Fundamental Theories and Explanations  Proposed Reasons for How We Date and Mate                  Spoiler: Part 2                      Basic tenets of mating from the evolutionary psychology perspective:    Intrasexual selection consists of individuals competing with members of their own sex for access to the opposite sex. In most cases this means males fighting with each other for access to females. In contrast, intersexual selection consists of members of one sex attempting to impress members of the other; in this case the emphasis is on females since they are generally the ones that need to be impressed before they will assent to mating. This means that for most species we can equate intrasexual selection with male/male competition and intersexual selection with female choice.  (Workman & Reader, 2014, p. 59)    Why are females the selectors and men the ones competing for selection?    In 1972 Robert Trivers suggested that sexual selection is directly related to asymmetries between the sexes in the amount of effort that each parent puts into raising the offspring. He called this effort parental investment.  (Workman & Reader, 2014, p. 60)    Parental investment refers to the fact that women have to not only generate eggs, which are less numerous and less readily available than sperm, but also carry a baby to term while also devoting a certain amount of the nutrients the woman consumes to maintain the fetus. When the baby is born, they have a useless infant to raise, protect, feed, clean, and generally care for.    Men, on the other hand, can impregnate many women in a single day and never invest anything more than their sperm. As such, women have to be more selective of their mates, because it presents a greater potential cost to them. From this arises male competition for selection.    What is an example of this?    Approximately 2 million years ago, our ancestors began to consume calorie-rich meat. This change in diet promoted a change in how we get our food (hunting), how we invest our time (because meat presents a greater density of calories per successful hunt than foraging does, it gives us more free time for advancement), required that we advance our social abilities and structures, and affected mate selection. Here's an example as to how; it is called the provisioning hypothesis.  (Cosmides & Tooby, 1997, p. 91)    Perhaps by forming a long-term sexual relationship with a good hunter, a woman and her offspring would benefit from the food provided in return.  (Workman & Reader, 2014, pp. 86-88)    This explains why men, for whom it would normally make the most sense to simply impregnate as many women as possible, began to invest more heavily in the success of one pregnancy. However, at a biological level, they are still equipped to reproduce with multiple women, and still possess the impetus to do so when they are not committed to the success of one pregnancy.    A biological artifact of the times predating this transition to a meat-eating, long-term relationship arrangement that heavily indicates that this transition happened at all is the presence of kamikaze sperm, (Dixson, 2009, p. 170). The majority of sperm that a man ejaculates during copulation is actually incapable of producing a zygote when in contact with a female egg. Its sole purpose is to eliminate the sperm of other men; this is referenced in the title and content of the book Sperm Wars (2006) by Robin Baker, which has been repeatedly suggested by @nausea on the forums. As society progressed to a more monogamous standard for relationships, this evolutionary trai","Counter({'relationship': 19, 'surveillance': 7, 'planning': 7, 'loneliness': 6, 'suicide': 3, 'paranoia': 3, 'help': 3, 'soldier': 2, 'deadline': 2, 'fixation': 2, 'honour': 2, 'jealousy': 1})",57,"Counter({'Function': 394, 'Prep': 143, 'Social': 97, 'CogProc': 87, 'Verb': 79, 'Relativ': 76, 'Pronoun': 75, 'Drives': 71, 'Article': 64, 'FocusPresent': 61, 'Conj': 53, 'Auxverb': 51, 'Adj': 47, 'Ipron': 44, 'Work': 38, 'Affiliation': 35, 'Space': 34, 'Time': 32, 'Ppron': 31, 'Compare': 30, 'Bio': 28, 'Affect': 27, 'Cause': 25, 'Adverb': 25, 'Achieve': 24, 'Posemo': 23, 'Quant': 21, 'FocusPast': 19, 'Insight': 17, 'Differ': 17, 'We': 16, 'Interrog': 14, 'Tentat': 14, 'Sexual': 13, 'Female': 13, 'They': 11, 'Certain': 11, 'Reward': 11, 'Motion': 10, 'Power': 10, 'Ingest': 10, 'Male': 8, 'Money': 8, 'Discrep': 7, 'Percept': 6, 'Family': 6, 'FocusFuture': 5, 'Number': 5, 'See': 4, 'Negate': 4, 'Health': 4, 'I': 3, 'Risk': 3, 'Negemo': 3, 'Friend': 3, 'Informal': 2, 'Nonflu': 2, 'Body': 2, 'Leisure': 2, 'Anger': 1, 'Sad': 1, 'Feel': 1, 'SheHe': 1})",1982
RodgersSecondAdvent,it's over,Counter(),0,"Counter({'Function': 2, 'Pronoun': 1, 'Ipron': 1, 'Prep': 1, 'Drives': 1, 'Power': 1, 'Relativ': 1, 'Space': 1})",9
SergeantIncel,>tfw you're reading a good blackpill but thread is over 60k characters.,Counter({'honour': 1}),1,"Counter({'Function': 5, 'Verb': 2, 'Drives': 2, 'Pronoun': 1, 'Ppron': 1, 'You': 1, 'Social': 1, 'Article': 1, 'Affect': 1, 'Posemo': 1, 'Reward': 1, 'Conj': 1, 'CogProc': 1, 'Differ': 1, 'Auxverb': 1, 'FocusPresent': 1, 'Prep': 1, 'Power': 1, 'Relativ': 1, 'Space': 1})",26
Weed,SergeantIncel said:                                    >tfw you're reading a good blackpill but thread is over 60k words.                                                                                    Click to expand...      >tfw Sergeant uses a gif,Counter({'honour': 1}),1,"Counter({'Function': 7, 'Verb': 4, 'Social': 2, 'Article': 2, 'Drives': 2, 'CogProc': 2, 'FocusPresent': 2, 'Prep': 2, 'Relativ': 2, 'Space': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Pronoun': 1, 'Ppron': 1, 'You': 1, 'Affect': 1, 'Posemo': 1, 'Reward': 1, 'Conj': 1, 'Differ': 1, 'Auxverb': 1, 'Power': 1, 'Cause': 1})",41
Mahlo,mogs my thread,Counter(),0,"Counter({'Function': 1, 'Pronoun': 1, 'Ppron': 1, 'I': 1})",4
subsaharan,*clicks furiously*      Seriously tho: High effort. I approve.,Counter({'help': 1}),1,"Counter({'Affect': 2, 'Drives': 2, 'Percept': 1, 'Hear': 1, 'Negemo': 1, 'Anger': 1, 'Function': 1, 'Adverb': 1, 'Conj': 1, 'Informal': 1, 'Netspeak': 1, 'Achieve': 1, 'Work': 1, 'Posemo': 1, 'Power': 1})",17
z2020,"Mhm of all the categories I'm not sure it's over due to being poor. It puts you at a disadvantage, but if you have looks it really doesn't matter and this has been shown time and time again.","Counter({'planning': 2, 'deadline': 1, 'suicide': 1})",4,"Counter({'Function': 22, 'CogProc': 7, 'Relativ': 7, 'Verb': 6, 'Pronoun': 5, 'Prep': 4, 'Differ': 4, 'Time': 4, 'Auxverb': 4, 'FocusPresent': 4, 'Conj': 4, 'Affect': 3, 'Ipron': 3, 'Drives': 3, 'Power': 3, 'Certain': 2, 'Article': 2, 'Space': 2, 'Negemo': 2, 'Ppron': 2, 'You': 2, 'Social': 2, 'Adverb': 2, 'Quant': 1, 'Insight': 1, 'Negate': 1, 'Posemo': 1, 'Adj': 1, 'Money': 1, 'Motion': 1, 'Risk': 1, 'Discrep': 1, 'Tentat': 1, 'Percept': 1, 'See': 1, 'FocusPast': 1})",112
blickpall,"Addendum to 4.7:    Keep in mind that online dating is not only becoming more and more accepted in society, it is also becoming more prevalent in outcome relationships. According to the statistics, 1/3rd of modern marriages arise from relationships that started online on services like OkCupid, Tinder, Match.com, etc. They are far and away the leader in creating unions in same-sex couples, and are already firmly the second-most common point of origin for heterosexual couples (Ortega & Hergovich, 2017). In this rapidly evolving sexual market, it is the people who are worst equipped for online dating that are the ones who are left behind. It is imaginable that if this trend continues, we eventually will see shifts in human biology that reflect the dating and mating strategies and standards that are most successful in online dating.","Counter({'relationship': 3, 'paranoia': 1, 'surveillance': 1, 'suicide': 1})",6,"Counter({'Function': 61, 'Relativ': 24, 'Verb': 19, 'Prep': 18, 'Social': 15, 'Drives': 15, 'Space': 13, 'Pronoun': 13, 'Auxverb': 13, 'Ipron': 12, 'FocusPresent': 12, 'CogProc': 12, 'Adj': 11, 'Affiliation': 10, 'Time': 9, 'Compare': 8, 'Conj': 7, 'Article': 6, 'Insight': 5, 'Quant': 5, 'Work': 5, 'Bio': 5, 'Adverb': 4, 'Affect': 4, 'FocusPast': 4, 'Achieve': 4, 'Sexual': 4, 'Posemo': 3, 'Cause': 3, 'Tentat': 3, 'Differ': 2, 'Interrog': 2, 'FocusFuture': 2, 'Negate': 1, 'Family': 1, 'Power': 1, 'Number': 1, 'Money': 1, 'Negemo': 1, 'Risk': 1, 'Discrep': 1, 'Ppron': 1, 'We': 1, 'Percept': 1, 'See': 1, 'Reward': 1})",346
blickpall,"z2020 said:                                    Mhm of all the categories I'm not sure it's over due to being poor. It puts you at a disadvantage, but if you have looks it really doesn't matter and this has been shown time and time again.            Click to expand...      Outliers exist for each category. A person who is ethnic but exceptionally rich or handsome may also find a match. In no single category do I recall seeing a success rate of 0 across the board; for example, black men have a non-0 (17%) response rate from Asian women, but it's not scientifically sound to say that the exceptions disprove the rule, so to speak.","Counter({'planning': 3, 'deadline': 1, 'suicide': 1, 'murder': 1, 'surveillance': 1, 'relationship': 1, 'god': 1})",9,"Counter({'Function': 50, 'CogProc': 18, 'Verb': 15, 'Prep': 12, 'FocusPresent': 10, 'Social': 9, 'Differ': 9, 'Relativ': 9, 'Conj': 9, 'Article': 8, 'Pronoun': 8, 'Auxverb': 8, 'Percept': 7, 'Affect': 6, 'Ipron': 6, 'Drives': 6, 'Insight': 5, 'Power': 5, 'Hear': 4, 'Posemo': 4, 'Space': 4, 'Time': 4, 'Adj': 4, 'Adverb': 4, 'Quant': 3, 'Negate': 3, 'Tentat': 3, 'See': 3, 'FocusPast': 2, 'Certain': 2, 'Negemo': 2, 'Money': 2, 'Ppron': 2, 'You': 2, 'Work': 2, 'Motion': 1, 'Risk': 1, 'Discrep': 1, 'Interrog': 1, 'FocusFuture': 1, 'Number': 1, 'Achieve': 1, 'Reward': 1, 'Male': 1, 'Cause': 1, 'Female': 1})",261
